artist,id,title
'Neneh Cherry',5tmkX2fJ7KUAnMz3W1ibEr,'Manchild'
'Talking Heads',5JwK7v6XhG0YgqDuCgzOy8,'And She Was'
'Grace Jones',7pLO4yo5NrsguQVAhrIswR,'Slave To The Rhythm'
'Deee-Lite',6pRUSqa2Qo8QV4Ytk8ik9c,'What Is Love?'
'Deee-Lite',6pRUSqa2Qo8QV4Ytk8ik9c,'What Is Love?'
'Blondie',62H036AjK703qvKZBLopzV,'Hanging On The Telephone'
'The Chemical Brothers',3vRYtf5xgPrYeVzAmqvzTd,'The Salmon Dance'
'The B-52's',1y5V5qja332UyMeUurFhDS,'Private Idaho'
'Moloko',7xG0XZhUxTu6Axewwq0jfN,'Time Is Now'
'Róisín Murphy',7di4QTqNCZjX4JUFKhWQsr,'Overpowered'
'Frankie Knuckles',6tvtFyEdNpeurBkT2zNMEL,'Your Love (feat. Jamie Principle)'
'Talking Heads',5gS8whHdcpbkdz0qonQZF8,'Road to Nowhere'
'Washed Out',55ulvVJi4JnaAkbcsTMguC,'Burn Out Blues'
'Unknown Mortal Orchestra',2nqqIatHUVkw9S342HZKTz,'Extreme Wealth and Casual Cruelty'
'Illa J',59XfkUPhqn61BhHx21HYjL,'Spiders'
'Knxwledge',7zBdDtA57sH8LEEOvkb3JA,'Gethi'
'Denitia and Sene',4yujHMS6DFR6r4tBSGmm41,'breathe.scream.dream.'
'Mndsgn',3OtBieT1rwL2SoePlQL4Zh,'Cosmic Perspective'
'Moodymann',4ncFRft2xEs4kanULQjaOz,'Lyk U Use 2 (feat. Andres)'
'Roy Ayers Ubiquity',5le4sn0iMcnKU56bdmNzso,'Everybody Loves The Sunshine'
'Archy Marshall',68ckAtSnTPFbMn7rZ7WB9f,'Thames Water'
'letherette',29vPsCpO1i4DN2V5F9MSWi,'Langsette'
'Moodymann',24mkZlzjjE4N7n38pkF3RS,'Desire'
'Tall Black Guy',72CSbUausZtS6bwUXplxSa,'Mon Amie De'troit - Instrumental Version'
'BADBADNOTGOOD',1I40L32fTSSkBkPeArX9Ul,'Time Moves Slow'
'Max Graef',4gNsCXdc3QTjwQLqiu2BbM,'Quackeljochen'
'Aldous RH',6ebkgo0McCj8w6xCVFIB15,'Sensuality'
'Yabadum',5E6t3T6Mh8V9LmcMKYEx4E,'Cosmos'
'Luna Luna',7qqGg2wQzTxrRhWadE8owN,'Fro'
'Palace',2H30WL3exSctlDC9GyRbD4,'Live Well'
'Mndsgn',1VmNMzBiFt3FhSRopVfAac,'Guess It’s All Over'
'The Symposium',6yljCYdn6RsTj8oWXPeJCl,'Tony Stark'
'Lafayette Afro Rock Band',639O967X7bNLy5sv6zZYc5,'Ozan Kouklé - Remastered'
'Ross from Friends',3s3ASxlj1eb23RquaJ5mP3,'John Cage - Edit'
'Elder Island',4Ri84aoor16uSkNtpAvPgQ,'The Big Unknown'
'Project Pablo',4QCAeh5coHjxTfbXa3w2Iz,'Fine Match'
'Duke Hugh',1Dq9v38I2fKm8zRXSTdsGX,'Greenleaf'
'Alton Miller',6NFZqcFiHX5lN3ys6DxcVq,'Below the Underdog - Original'
'Psychic Mirrors',4jQ3zugUJ2g0UT1xaUo1d4,'The Bells of Saint Christopher'
'Malin Genie',7aFuBSK4uA7MKQB2elf4W0,'Pushin' On - Original Mix'
'Sonny & The Sunsets',3wnJ90SCPCKvU9Jzw7osZn,'Pretend You Love Me'
'A. Savage',4p4j54IjiEtcOPjnDQO8We,'Phantom Limbo'
'Parquet Courts',2zyXkd7RFLgYyvgsQk9bzi,'Steady on My Mind'
'Daniele Luppi',26VNWVrNLlJwCQuBWknS4e,'Flush'
'Daniele Luppi',73pH3dlGVlgLNGRPa9TlKY,'Soul and Cigarette'
'Parquet Courts',6Ptb27N0SlyJ1WKo3uwjID,'Donuts Only'
'Parquet Courts',73uPJKFwxD2CAuC6fUazmP,'Pretty Machines'
'Daniele Luppi',266SUaQ0WZyAbDuDbxeyPB,'Mount Napoleon'
'Parquet Courts',2JAyIYXrmNve9evTBr1Hxm,'Insufferable'
'Parquet Courts',5wpBEy8gYVQmb5VArtayfp,'Before the Water Gets Too High'
'Parquet Courts',2Rd4EF7myVjQponAuPImXu,'Prison Conversion'
'Parquet Courts',5LudsNWmB3LFwx4YMHWysA,'Captive of the Sun'
'Parquet Courts',3iyYmoZMI4o0xW0nCLwAT3,'Human Performance'
'Parquet Courts',1hpzGaL2GFuf1SdL6BkA6Z,'Monastic Living I'
'The Garden',5tuHO8lMOaBCx1MEGmUzQp,'A Message For Myself'
'Inner Wave',3RzILsQvsNZ5dyYhBEKGjn,'Diamond Eyes'
'Mac DeMarco',4c7k0jGOFR1OraHvE3BszV,'My Old Man'
'Mac DeMarco',1xpnkMYroPcpCwQmf9Z5sS,'A Wolf Who Wears Sheeps Clothes'
'Étienne de Crécy',3uIOxWVRZI2XaqHDXfDc9b,"'Ash Sync - Air, Alex Gopher & Etienne De Crécy Version'"
'King Gizzard & The Lizard Wizard',2oeqKWbVwK5Ly2vjwWJKHd,'Sense'
'Franc Moody',6s62F4fguIxbw9dYiT1q7k,'Laroque'
'Parquet Courts',5wpBEy8gYVQmb5VArtayfp,'Before the Water Gets Too High'
'Henry Wu',2222Kni7eNyr33Ijtm5OnO,'Croydon Depot'
'Skinshape',28k6uy8eU0nMKu0lSApuDn,'I Didn't Know - Extended'
'Sunny & The Sunliners',35nmxfRkDBUsOKtY31yEAu,'Should I Take You Home'
'Sean Price',545cKgvj9c85Umv1FHG6l2,'Boom Bye Yeah'
'Damu The Fudgemunk',1p2IlA7UbxNYenX9uE72V9,'Coco Mango Diced (Boy Scout Mix)'
'The Deli',2pPyIvTEBPQVdI6NRgWHpM,'Briefing'
'Idealism',7woCxOw0jmj65ohlQ3x0tH,'controlla'
'Jinsang',0Sual1ICmnvv1bZ8IEZsS5,'Bliss'
'emune',1uemjM73KfeFmFn5L16TFI,'Red Dot'
'emune',5TC4jXvICtwvj9tdamoJMd,'Trust Me'
'emune',5V3OeL6m3VBrtN6QEg0M8v,'Hittin' Switches - Instrumental'
'o k h o',3WWBGrzKFTYcT918oNBR64,'Notturna'
'Wun Two',0dMhvbKiluv2nxtthJTzZC,'Nuthatch'
'Wun Two',72r04MeYrO4SflO1sGe2Tz,'autumn'
'The Garden',0GARqhVTsP5GA6q1G3xWph,'California Here We Go'
'BADBADNOTGOOD',48mJsuV6IsDVrjkhqR2mHG,'Sour Soul'
'Puzzle',02QcUiEaFyeGemZ7tu3i63,'Kids'
'Swim Mountain',2Omo3qPqeU59b685POhBt9,'All I Care About'
